,Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
88,88,0,0.03008737045923603,176,2020-06-23 07:00:00,9663.598889092866,0.0,177,2020-06-23 17:00:00,9664.13334346074,0.0,0.01608032655980196,5.53059345703905e-05,Long,Closed,88
89,89,0,0.031687013869400274,178,2020-06-26 21:00:00,9176.770067296402,0.0,179,2020-06-27 04:00:00,9159.581176507269,0.0,0.544664620834908,0.0018730872260155104,Short,Closed,89
90,90,0,0.032324632807220664,180,2020-07-05 19:00:00,9029.453524842193,0.0,181,2020-07-06 01:00:00,9087.753488730004,0.0,-1.884524925347705,-0.006456643663696091,Short,Closed,90
91,91,0,0.03064411280099831,182,2020-07-09 11:00:00,9401.63357512204,0.0,183,2020-07-10 00:00:00,9214.115139961554,0.0,-5.746336079324635,-0.019945303511581747,Long,Closed,91
92,92,0,0.02901912314210286,184,2020-07-24 11:00:00,9532.060850926144,0.0,185,2020-07-24 16:00:00,9575.747937726606,0.0,-1.2677609515823747,-0.004583173301523606,Short,Closed,92
93,93,0,0.02418005158740914,186,2020-08-01 02:00:00,11334.819726794707,0.0,187,2020-08-01 07:00:00,11657.495147187752,0.0,7.802308311092759,0.02846762702632696,Long,Closed,93
94,94,0,0.02504950680904969,188,2020-08-12 23:00:00,11564.345140935491,0.0,189,2020-08-13 08:00:00,11415.115177754587,0.0,-3.738136978814282,-0.012904315926429693,Long,Closed,94
95,95,0,0.02291810016241359,190,2020-08-17 20:00:00,12313.624008645387,0.0,191,2020-08-18 01:00:00,12327.282486911748,0.0,0.3130263729746048,0.001109216771339708,Long,Closed,95
96,96,0,0.025069635421121728,192,2020-08-26 00:00:00,11281.812295526786,0.0,193,2020-08-26 07:00:00,11347.986918758845,0.0,-1.6589736785577998,-0.005865602218740746,Short,Closed,96
97,97,0,0.02461664171237784,194,2020-09-02 20:00:00,11354.634683606071,0.0,195,2020-09-03 02:00:00,11424.616889152065,0.0,-1.722726880167727,-0.0061633163457945,Short,Closed,97
98,98,0,0.025744179221052793,196,2020-09-03 21:00:00,10723.492780658333,0.0,197,2020-09-04 02:00:00,10261.302092241933,0.0,11.898719916893583,0.04310075997347068,Short,Closed,98
99,99,0,0.028824641547651967,198,2020-09-05 05:00:00,10403.076803539569,0.0,199,2020-09-05 14:00:00,10323.985551598636,0.0,-2.279776986752381,-0.007602678845360559,Long,Closed,99
100,100,0,0.02874615799362509,200,2020-09-10 00:00:00,10272.86519286177,0.0,201,2020-09-10 06:00:00,10327.739939022937,0.0,1.5774381230089602,0.005341717732195763,Long,Closed,100
